,Num_Acc,lum,agg,atm,col,lat,long,datetime
1761,202100041041,1,1,1,2,48.7599,2.32104,2021-05-07 18:30:00
1762,202100041148,1,2,2,3,48.7858023476,2.4921476841,2021-05-06 13:50:00
1763,202100041149,1,2,2,7,48.7984562249,2.3485254983,2021-05-06 18:50:00
1764,202100041150,1,2,2,3,48.80189,2.34379,2021-05-06 11:10:00
1765,202100041151,5,2,1,3,48.7727560439,2.4002766609,2021-05-05 21:45:00
1766,202100041223,1,1,1,4,48.76171,2.31613,2021-05-06 19:00:00
1767,202100041224,1,1,1,7,48.77151,2.34512,2021-05-06 18:10:00
1768,202100041226,1,1,2,3,48.75984,2.33846,2021-05-06 14:05:00
1769,202100041228,1,1,2,6,48.7574006134,2.3290801048,2021-05-06 07:35:00
1770,202100041325,5,2,1,1,48.7942546995,2.4005871272,2021-05-04 23:40:00
1771,202100041326,1,2,1,1,48.80942,2.5106,2021-05-02 10:10:00
1772,202100041327,1,2,1,3,48.75386,2.33918,2021-05-05 07:43:00
1773,202100041328,1,2,2,3,48.81946,2.40673,2021-05-05 16:30:00
1774,202100041329,1,2,1,2,48.772681,2.510209,2021-05-05 13:50:00
1775,202100041330,1,2,1,4,48.80128,2.41665,2021-05-05 10:30:00
1776,202100041476,1,1,1,7,48.8132601417,2.3544788369,2021-05-04 16:30:00
1777,202100041482,1,1,1,4,48.82413,2.3946,2021-05-03 13:10:00
1778,202100041562,1,2,1,3,48.73069,2.459298,2021-05-03 18:05:00
1779,202100041563,2,2,1,4,48.8106,2.45707,2021-05-02 19:00:00
1780,202100041564,1,2,1,6,48.78498,2.32853,2021-05-03 16:00:00
1781,202100041565,1,1,1,4,48.72772,2.54721,2021-05-03 08:15:00
1782,202100041626,1,1,1,2,48.7753718554,2.3461481062,2021-05-03 15:25:00
1783,202100041628,1,1,1,2,48.75936,2.32335,2021-05-03 07:45:00
1784,202100041633,3,1,1,6,48.8263312336,2.5200426579,2021-05-03 04:20:00
1785,202100041634,1,2,3,4,48.74152,2.46689,2021-03-15 13:12:00
1786,202100041694,5,2,1,3,48.746,2.446,2021-05-02 20:50:00
1787,202100041695,1,2,1,6,48.82917,2.403455,2021-05-02 18:25:00
1788,202100041752,1,1,1,4,48.82913,2.49989,2021-05-02 19:15:00
1789,202100041754,5,1,1,6,48.77018,2.38255,2021-05-02 01:10:00
1790,202100041822,1,2,1,3,48.7876,2.4507,2021-05-01 18:00:00
1791,202100041823,1,2,1,3,48.79584,2.4259,2021-04-30 11:30:00
1792,202100041865,5,1,1,6,48.770201,2.381564,2021-04-30 22:49:00
1793,202100041866,1,1,1,4,48.8288,2.5014,2021-04-30 16:20:00
1794,202100041936,1,2,1,3,48.808814,2.509424,2021-04-28 19:10:00
1795,202100041937,1,2,1,3,48.78677,2.33747,2021-04-30 18:00:00
1796,202100041938,1,2,1,3,48.79635,2.33539,2021-04-30 08:30:00
1797,202100041939,1,2,1,6,48.75648,2.38748,2021-04-30 13:55:00
1798,202100041940,1,2,1,6,48.7912,2.46951,2021-04-30 19:27:00
1799,202100041941,1,2,1,2,48.76307,2.49411,2021-04-28 18:15:00
1800,202100041942,1,2,1,6,48.80161,2.54052,2021-04-30 10:50:00
1801,202100041943,1,2,1,2,48.76654,2.53229,2021-04-30 09:15:00
1802,202100042063,1,2,1,3,48.80617,2.46977,2021-04-28 16:45:00
1803,202100042064,1,2,8,2,48.85247,2.4816,2021-04-28 15:10:00
1804,202100042065,1,2,1,3,48.74683,2.42382,2021-04-29 18:50:00
1805,202100042066,1,2,1,3,48.81299,2.57319,2021-04-29 08:45:00
1806,202100042067,1,2,1,3,48.7774,2.51149,2021-04-29 15:55:00
1807,202100042068,5,2,1,3,48.7283199309,2.5397394598,2021-04-27 22:20:00
1808,202100042147,1,1,1,2,48.7595271748,2.4851417542,2021-04-29 18:30:00
1809,202100042217,1,2,1,6,48.750418,2.488485,2021-04-28 12:34:00
1810,202100042218,5,2,1,1,48.80218,2.33848,2021-04-28 05:45:00
1811,202100042219,1,2,1,6,48.808425,2.331666,2021-04-27 19:00:00
1812,202100042220,1,2,1,6,48.79636,2.42175,2021-04-27 19:00:00
1813,202100042363,1,2,1,6,48.847515,2.429028,2021-04-27 08:00:00
1814,202100042364,1,2,1,3,48.81528,2.3756,2021-04-26 19:00:00
1815,202100042365,1,2,1,1,48.7873,2.45612,2021-04-27 12:00:00
1816,202100042366,2,2,1,3,48.765204,2.408051,2021-04-27 20:40:00
1817,202100042418,1,1,1,3,48.75497,2.34479,2021-04-26 19:05:00
1818,202100042421,1,1,1,6,48.82734,2.46857,2021-04-27 19:05:00
1819,202100042509,1,2,1,3,48.785559,2.337903,2021-04-26 18:00:00
1820,202100042510,1,2,1,7,48.74478,2.39829,2021-04-26 18:55:00
1821,202100042511,1,2,1,2,48.74978,2.43419,2021-04-26 10:40:00
1822,202100042568,1,1,1,4,48.8173019527,2.4323648133,2021-04-26 18:00:00
1823,202100042569,1,1,1,3,48.7659410769,2.3790876024,2021-04-26 07:45:00
1824,202100042606,1,2,1,1,48.8552,2.45318,2021-04-25 19:30:00
1825,202100042607,1,2,1,2,48.7692929186,2.4214140425,2021-04-25 15:00:00
1826,202100042608,1,2,1,3,48.81648,2.45705,2021-04-25 19:05:00
1827,202100042709,1,2,1,6,48.806066,2.449976,2021-04-24 19:15:00
1828,202100042710,1,2,1,6,48.75751,2.3163,2021-04-24 17:45:00
1829,202100042711,1,2,1,6,48.74476,2.39837,2021-04-24 18:45:00
1830,202100042712,1,2,1,6,48.812882,2.569828,2021-04-24 20:00:00
1831,202100042919,1,2,1,6,48.847906,2.440539,2021-04-23 12:50:00
1832,202100042920,1,2,1,3,48.792101,2.497146,2021-04-23 18:50:00
1833,202100042921,1,2,1,1,48.829605,2.473475,2021-04-23 18:05:00
1834,202100042922,1,2,1,3,48.78669,2.32355,2021-04-23 09:50:00
1835,202100042923,1,2,1,4,48.794976,2.354331,2021-04-23 08:30:00
1836,202100042924,5,2,1,1,48.80386,2.39571,2021-04-22 21:20:00
1837,202100042925,1,2,1,3,48.772129,2.40677,2021-04-23 07:57:00
1838,202100042926,1,2,1,6,48.832,2.543,2021-04-23 16:00:00
1839,202100043064,1,2,1,7,48.794887,2.510482,2021-04-22 13:45:00
1840,202100043065,1,2,2,3,48.793326,2.486685,2021-04-21 18:30:00
1841,202100043066,1,2,1,3,48.788566,2.370443,2021-04-22 19:45:00
1842,202100043067,5,2,1,3,48.81015,2.34075,2021-04-21 23:10:00
1843,202100043068,2,2,1,6,48.8174,2.39879,2021-04-22 19:35:00
1844,202100043069,1,2,1,3,48.8112,2.55661,2021-04-22 17:58:00
1845,202100043070,1,2,1,3,48.72719,2.53103,2021-04-21 12:40:00
1846,202100043207,1,2,1,3,48.80658,2.47112,2021-04-20 18:50:00
1847,202100043208,1,2,1,2,48.82148,2.39181,2021-04-20 17:09:00
1848,202100043354,1,2,1,6,48.847065,2.443369,2021-04-20 12:40:00
1849,202100043355,1,2,1,7,48.742737,2.493321,2021-04-20 19:10:00
1850,202100043356,1,2,1,3,48.809391,2.389594,2021-04-19 20:15:00
1851,202100043357,1,2,1,3,48.8,2.57,2021-04-19 20:00:00
1852,202100043470,1,2,1,6,48.798,2.382,2021-04-19 16:45:00
1853,202100043471,1,2,1,3,48.7544,2.428,2021-04-19 16:10:00
1854,202100043472,1,2,1,1,48.76863,2.32866,2021-04-19 08:50:00
1855,202100043473,1,2,1,2,48.7281179983,2.5396928786,2021-04-19 11:37:00
1856,202100043560,2,2,1,3,48.730388,2.446915,2021-04-18 20:20:00
1857,202100043561,1,2,1,3,48.8082392173,2.4434407055,2021-04-18 16:05:00
1858,202100043562,1,2,1,3,48.77777,2.46179,2021-04-17 12:50:00
1859,202100043605,1,1,1,6,48.80066,2.34206,2021-04-18 19:05:00
1860,202100043654,2,2,1,1,48.7910007683,2.5069173695,2021-04-17 20:35:00
1861,202100043655,5,2,1,3,48.8029298981,2.510279417,2021-04-17 04:55:00
1862,202100043656,1,2,1,3,48.78525,2.36993,2021-04-17 18:30:00
1863,202100043657,1,2,1,6,48.799286,2.355153,2021-04-17 13:00:00
1864,202100043658,1,2,1,3,48.816546,2.370132,2021-04-17 19:30:00
1865,202100043659,1,2,1,3,48.78761,2.43589,2021-04-17 10:15:00
1866,202100043660,1,2,1,2,48.7957,2.54997,2021-04-17 19:30:00
1867,202100043723,1,1,1,3,48.7617,2.31549,2021-04-17 19:00:00
1868,202100043724,1,1,1,4,48.75629,2.3416,2021-04-17 13:15:00
1869,202100043800,1,2,1,3,48.793847,2.508147,2021-04-15 17:10:00
1870,202100043801,1,2,1,6,48.78747,2.33282,2021-04-15 10:30:00
1871,202100043802,1,2,1,7,48.848961,2.463201,2021-04-15 18:55:00
1872,202100043803,1,2,1,5,48.762505,2.494976,2021-04-16 20:00:00
1873,202100043804,1,2,1,1,48.80994,2.57211,2021-04-14 08:45:00
1874,202100043805,1,2,1,3,48.82742,2.54564,2021-04-16 18:35:00
1875,202100043806,1,2,1,6,48.749219,2.557061,2021-04-16 11:15:00
1876,202100043854,1,1,1,3,48.7690354532,2.4499019295,2021-04-16 17:30:00
1877,202100043855,5,1,1,6,48.7538424491,2.3542632476,2021-04-16 06:00:00
1878,202100043918,1,2,1,6,48.782567,2.38085,2021-04-15 16:45:00
1879,202100043919,1,2,1,3,48.78,2.4,2021-04-14 18:45:00
1880,202100043920,1,2,1,3,48.8,2.39,2021-04-14 15:50:00
1881,202100043921,5,2,1,2,48.7272,2.4453,2021-04-15 05:07:00
1882,202100043922,1,2,1,2,48.80422,2.44376,2021-04-15 19:48:00
1883,202100043923,1,2,1,6,48.7669,2.3529413,2021-04-07 17:20:00
1884,202100043924,1,2,1,3,48.81722,2.50964,2021-04-15 14:50:00
1885,202100043925,1,2,1,2,48.76403,2.52954,2021-04-15 19:40:00
1886,202100043926,1,2,1,2,48.71913,2.56779,2021-04-15 17:30:00
1887,202100043997,1,1,1,2,48.7738141386,2.4033475616,2021-04-15 17:05:00
1888,202100043998,3,1,1,4,48.8176262494,2.4173841935,2021-04-14 06:30:00
1889,202100044054,1,2,1,3,48.799441,2.499045,2021-04-12 19:30:00
1890,202100044055,1,2,1,3,48.82206,2.39979,2021-04-14 16:45:00
1891,202100044172,1,2,1,2,48.7668,2.4847,2021-04-12 14:30:00
1892,202100044173,1,2,1,2,48.738557,2.423684,2021-04-12 07:45:00
1893,202100044174,1,2,1,2,48.8243464181,2.3995041847,2021-04-13 12:40:00
1894,202100044232,2,1,1,3,48.7741495852,2.4071918252,2021-04-12 07:50:00
1895,202100044305,1,2,1,6,48.77367,2.46732,2021-04-12 11:59:00
1896,202100044372,1,2,1,2,48.78311,2.44748,2021-04-11 16:15:00
1897,202100044373,5,2,2,1,48.79029,2.40465,2021-04-10 23:20:00
1898,202100044374,5,2,1,3,48.74468,2.45951,2021-04-11 21:40:00
1899,202100044427,1,1,2,6,48.76059,2.33928,2021-04-11 11:06:00
1900,202100044435,1,1,2,6,48.75348,2.3801,2021-04-11 10:35:00
1901,202100044436,1,1,2,3,48.7765536047,2.4191581146,2021-04-11 09:20:00
1902,202100044437,5,1,2,4,48.8304354758,2.4932061611,2021-04-11 00:30:00
1903,202100044489,1,2,1,3,48.7999,2.4976,2021-04-09 16:00:00
1904,202100044490,1,2,1,6,48.756,2.322,2021-04-07 10:15:00
1905,202100044598,1,2,1,1,48.775,2.378,2021-04-08 16:20:00
1906,202100044599,1,2,1,3,48.79125,2.36987,2021-04-09 14:30:00
1907,202100044600,1,2,1,3,48.763684,2.403424,2021-04-09 10:15:00
1908,202100044601,1,2,1,1,48.754017,2.382636,2021-04-09 08:30:00
1909,202100044602,1,2,1,2,48.78712,2.46846,2021-04-09 14:25:00
1910,202100044603,1,2,1,1,48.79804,2.53372,2021-04-09 16:50:00
1911,202100044604,1,2,1,2,48.78001,2.57818,2021-04-09 12:20:00
1912,202100044605,5,2,3,6,48.823255,2.51042,2021-04-09 19:40:00
